index,count,mean,std,min,25%,50%,75%,max
02FI_1000.PV_roc,1561.0,0.0004868783832053312,0.009004242131288968,-0.19856910999999997,-0.0025957000000000007,0.0004021033333333257,0.003368966666666632,0.08767669766666668
02FI_1000.PV_mean,1561.0,8.36411919820552,0.42972876905606333,0.9744372251612904,8.250836,8.454575741935482,8.586428516129033,9.005575032258063
02FI_1000.PV_std,1561.0,0.0775040262977187,0.07065703101915688,0.011847564020893408,0.04544423905838575,0.05900992157015743,0.08608086126907304,1.3261060326535223
03FIC_1085.PV_roc,1561.0,-0.038604006729019855,0.827444341450087,-8.498740666666666,-0.30540333333333364,-0.015625666666666878,0.27131133333333346,5.659198333333334
03FIC_1085.PV_mean,1561.0,303.9309327634413,21.79409572529888,186.60728759290322,292.5041767741935,304.41423580645164,318.1512122580646,447.6372541935484
03FIC_1085.PV_std,1561.0,8.726584497439761,7.465206198074786,0.028035154103223152,4.707076787128034,6.92488439470725,9.929781781423124,71.19430136334427
03LIC_1016.PV_roc,1561.0,0.04509660884433056,0.1866934006522138,-1.656041844,-0.04770393333333326,0.031076500000000114,0.12065316666666656,1.3713879089999998
03LIC_1016.PV_mean,1561.0,41.00944275124918,2.8323072226469335,0.19007095967741938,39.905727129032265,40.994034032258064,42.537790451612906,46.31947319354839
03LIC_1016.PV_std,1561.0,3.4232494946365306,2.1850416808134554,0.0011528304205272117,2.0201257360934997,2.9128425898942516,4.419765641562773,28.621092110794127
03LIC_1034.PV_roc,1561.0,-0.00013424174674353789,0.06582827437060751,-0.41281976666666653,-0.014127099999999853,0.0014125999999999787,0.016638466666666574,0.45614220000000005
03LIC_1034.PV_mean,1561.0,54.29250173203163,4.853604504501346,34.95939461290323,49.78475467741935,55.85082041935484,58.59812561290324,62.19243693548387
03LIC_1034.PV_std,1561.0,0.5476893746793633,0.6314648822448383,0.036309573574282536,0.22172273861044117,0.3448757856349987,0.5697352670717949,5.258999249048044
03PDI_1020.PV_roc,1561.0,0.03431202064915653,0.36944282398454076,-6.1860731666666675,-0.10568000000000097,0.03208133333333194,0.17550566666666706,2.634459333333333
03PDI_1020.PV_mean,1561.0,262.2402280969186,21.093233261050173,25.639049419354837,255.77865677419356,267.2567774193548,273.9811196774194,292.20914580645155
03PDI_1020.PV_std,1561.0,3.993991892069626,2.893172778146854,1.3075833991170367,2.5835105782209538,3.26801359925232,4.419872788825363,43.09199601144122
03PDI_1077.PV_roc,1561.0,-3.7947331869741595e-05,0.0006531546181127018,-0.009147818948666668,-0.0002863600000000003,-1.573566666666637e-05,0.0002265709999999995,0.004559749333333333
03PDI_1077.PV_mean,1561.0,0.2959297295098871,0.03300379018796487,-0.010974185845161286,0.28024619645161286,0.3011766425806452,0.3163423061290322,0.3993301680645161
03PDI_1077.PV_std,1561.0,0.006028058147457751,0.005181854699044857,0.0009346803029308534,0.003406584485554158,0.0046730347158102726,0.006839821013388908,0.0707670175857919
03PIC_1013.PV_roc,1561.0,0.1047597809096733,0.5126562663146812,-2.8647923333333325,-1.666666666248299e-06,3.1666666666296804e-05,0.0002513333333335292,7.448413666666667
03PIC_1013.PV_mean,1561.0,311.9950305977549,24.246225605448068,54.74865038709678,318.15683096774194,318.17346806451627,318.1773006451612,318.24518935483877
03PIC_1013.PV_std,1561.0,1.4812021642894408,5.661115641086288,2.3486440841940228e-05,0.00043360281116632465,0.0023221322700367154,0.004882258247094919,76.13871412140863
03PIC_1023.PV_roc,1561.0,0.0021204085116378396,0.008818427530863147,-0.08343559333333332,-0.002038686666666667,0.002151963333333325,0.0064181466666666685,0.05636620000000002
03PIC_1023.PV_mean,1561.0,7.187173070685782,0.1530650019906173,3.9755336387096776,7.147096812903225,7.194118406451615,7.2427840258064515,7.760606083870969
03PIC_1023.PV_std,1561.0,0.09675243230679532,0.07064293499939052,0.020449313577975272,0.060321820423739715,0.08239920696133926,0.11012364179807198,1.070796835128728
03PIC_1068.PV_roc,1561.0,0.0007486264146914386,0.007919339545659586,-0.047569566666666674,-0.0028945333333333895,0.0006292333333333271,0.004152933333333427,0.07248699999999993
03PIC_1068.PV_mean,1561.0,23.107411746720512,0.34820056267035326,22.190627645161285,22.915862774193545,23.097932677419355,23.25868974193548,25.299092903225805
03PIC_1068.PV_std,1561.0,0.08539015355454956,0.06800329965243676,1.992836633922656e-05,0.046109613082819544,0.06561274384083131,0.1003528228323737,0.6892475759757495
03PI_1409.PV_roc,1561.0,0.0007565869528080293,0.008397970848726564,-0.04590486666666666,-0.0033024333333333544,0.0008805666666666193,0.004843633333333367,0.06153670000000003
03PI_1409.PV_mean,1561.0,25.839911482137072,0.3178381616009719,22.442792999999998,25.642978290322585,25.89317041935484,26.047322741935478,26.850309354838707
03PI_1409.PV_std,1561.0,0.09555182203129815,0.07130864401544612,0.012467624621351536,0.04954278227782521,0.07207635975459013,0.11855003240926024,0.6966487782088858
03TIC_1009.PV_roc,1561.0,0.012971600491138158,0.04984287313974321,-0.22753739999999995,-0.00753403333333343,0.009417733333333445,0.025993566666666603,0.40873889999999996
03TIC_1009.PV_mean,1561.0,50.547574630346055,5.166764707605944,28.32424316129032,50.03557887096774,52.70492777419354,53.93132516129032,56.19491296774192
03TIC_1009.PV_std,1561.0,0.45205302085989363,0.4917388459565894,0.0013063258193253176,0.22327917575498618,0.3172818805099517,0.47752722056009744,6.081823829579164
03TIC_1023.PV_roc,1561.0,0.013152061039931669,0.03614824011741019,-0.34469673333333334,-0.002072033333333323,0.011866699999999971,0.02731209999999997,0.4936885666666667
03TIC_1023.PV_mean,1561.0,20.77724188633276,0.6704523552742665,9.320111606451613,20.558574387096773,20.81559296774193,21.05821151612903,24.708788096774196
03TIC_1023.PV_std,1561.0,0.31432856082484323,0.26568101106931996,0.06734295780246746,0.1802759181292143,0.24641935352017943,0.3553600736688297,3.7358713906280374
03TIC_1145.PV_roc,1561.0,0.0028864079009182147,0.050958157272869224,-0.33690850000000006,-0.014116399999999984,0.005646500000000051,0.02352726666666657,0.6973442333333335
03TIC_1145.PV_mean,1561.0,25.747031994052517,3.6071741386933485,20.401067709677417,23.166946161290323,24.96062516129032,26.78071425806452,60.1679875483871
03TIC_1145.PV_std,1561.0,0.43277271353571795,0.43577899588550056,0.03359972062383907,0.1924014807709599,0.3104234306905876,0.5042326727291142,5.3196973503245575
03TI_1002.PV_roc,1561.0,0.011004078795643819,0.045261560120942006,-0.37610540000000015,-0.006965000000000051,0.008864333333333481,0.02722633333333325,0.9947160000000002
03TI_1002.PV_mean,1561.0,60.400199555540176,2.310666472875604,33.22048448387097,59.555814999999996,60.94093377419355,61.856073774193554,65.91890551612903
03TI_1002.PV_std,1561.0,0.3970587016151619,0.46321482518159557,0.05280745273159799,0.24843566044181195,0.3439544438815068,0.4558221470925946,12.594082811019932
03TI_1005.PV_roc,1561.0,0.010271480589365787,0.04195176098182492,-0.27775139999999987,-0.007259333333333492,0.01009999999999991,0.027459466666666543,0.773601
03TI_1005.PV_mean,1561.0,57.815839617970425,2.462353388937944,31.982551935483873,56.979267935483875,58.37194503225806,59.30004012903227,63.43424174193548
03TI_1005.PV_std,1561.0,0.4072911352012029,0.3750237212379221,0.0011944268216424866,0.26038909557608003,0.3404886885756746,0.4537213824279347,9.40000978484953
03TI_1015.PV_roc,1561.0,0.013616156124279312,0.03859961373915598,-0.3550244333333333,-0.004969033333333309,0.012699133333333279,0.029815400000000027,0.3301780766666667
03TI_1015.PV_mean,1561.0,19.09741115843698,0.5902641880643591,7.6432367161290315,18.90657970967742,19.124851903225807,19.354076612903228,21.68801609677419
03TI_1015.PV_std,1561.0,0.3875454894554389,0.29077594892753034,0.08649453788384402,0.2320058148046695,0.3218095853395131,0.43631492207592276,2.8936247340079
03TI_1024.PV_roc,1561.0,0.01546692169549434,0.04393956146764539,-0.34125949999999994,-0.003459733333333285,0.013839099999999977,0.030823466666666733,0.6850349666666666
03TI_1024.PV_mean,1561.0,19.74871328532003,0.5577411100107366,10.316615651612903,19.554664096774193,19.774273419354838,19.99159970967742,22.238219516129032
03TI_1024.PV_std,1561.0,0.3982730885155752,0.3345490268531028,0.09437082715356086,0.2412565389287818,0.3266182250226069,0.43951025564426877,5.704876053022551
03TI_1081.PV_roc,1561.0,0.011743246666666662,0.06406982503072983,-0.8486989333333333,-0.0042481999999999685,0.009440566666666683,0.02218509999999997,1.3216662666666668
03TI_1081.PV_mean,1561.0,-29.245912025775816,1.8920554163281549,-35.66919006451613,-29.819445612903227,-29.09998964516129,-28.528536000000003,12.268020385806452
03TI_1081.PV_std,1561.0,0.2989247885974996,0.6039114494517821,0.00029657493567896456,0.16106426330359902,0.22155900668924464,0.3072841240362065,14.426189228536147
03TI_1108.PV_roc,1561.0,0.012810420777279523,0.038830508676696775,-0.1792792000000001,-0.0033968666666666534,0.007925933333333291,0.02151383333333333,0.3698811333333334
03TI_1108.PV_mean,1561.0,46.796739338399306,6.42987169183086,30.475264225806452,44.04739435483871,48.08637793548386,52.35364719354838,55.45356329032257
03TI_1108.PV_std,1561.0,0.24312188748395314,0.32726898109473734,0.0004057308605252693,0.08941414760682978,0.1525546254056215,0.27292458839695855,3.8100432463507645
